"AnnoA","CorsoTIPO","ClasseNUMERO","ClasseNOME","DiplomaTipo","Sesso","nImm"
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo musicale e coreutico","M",2
"2023/2024","Laurea - dm 270/04","L/SNT2","Professioni sanitarie della riabilitazione","Liceo scientifico","M",529
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Altro diploma","F",78
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione professionale","F",196
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione tecnica","F",295
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo artistico","F",23
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo classico","F",119
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo delle scienze umane","F",169
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo linguistico","F",135
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo musicale e coreutico","F",4
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo scientifico","F",542
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Altro diploma","M",56
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione professionale","M",142
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Diploma di istruzione tecnica","M",241
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo artistico","M",6
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo classico","M",40
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo delle scienze umane","M",24
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo linguistico","M",27
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo musicale e coreutico","M",1
"2023/2024","Laurea - dm 270/04","L/SNT3","Professioni sanitarie tecniche","Liceo scientifico","M",462
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Altro diploma","F",20
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione professionale","F",82
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione tecnica","F",93
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo artistico","F",9
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo classico","F",24
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo delle scienze umane","F",68
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo linguistico","F",34
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo musicale e coreutico","F",1
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo scientifico","F",84
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Altro diploma","M",13
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione professionale","M",50
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Diploma di istruzione tecnica","M",110
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo classico","M",7
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo delle scienze umane","M",17
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo linguistico","M",11
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo musicale e coreutico","M",1
"2023/2024","Laurea - dm 270/04","L/SNT4","Professioni sanitarie della prevenzione","Liceo scientifico","M",96
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Altro diploma","F",280
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione professionale","F",159
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione tecnica","F",611
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo artistico","F",515
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo classico","F",522
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo delle scienze umane","F",448
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo linguistico","F",486
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo musicale e coreutico","F",21
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo scientifico","F",340
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Altro diploma","M",92
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione professionale","M",77
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Diploma di istruzione tecnica","M",258
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo artistico","M",127
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo classico","M",161
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo delle scienze umane","M",107
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo linguistico","M",102
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo musicale e coreutico","M",4
"2023/2024","Laurea - dm 270/04","L-01","Beni culturali","Liceo scientifico","M",192
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Altro diploma","F",226
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione professionale","F",147
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Diploma di istruzione tecnica","F",420
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo artistico","F",27
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo classico","F",867
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo delle scienze umane","F",379
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo linguistico","F",388
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo musicale e coreutico","F",1
"2023/2024","Laurea - dm 270/04","L-02","Biotecnologie","Liceo scientifico","F",2579
